"Year","Period","Geo Level","State","State ANSI","mkt","measure","other","col1","col2","Domain Category","Value"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","3.6"
2023,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2023,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","56"
2023,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","15"
2023,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","57"
2023,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","668,000"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","493,000"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","430,000"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (SULFUR)","57,000"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","6"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","8"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","5"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","2"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","58"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","86"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","75"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","16"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","9.9"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","11.3"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","14.3"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","8.2"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","98"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","49"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","49"
2019,"YEAR","STATE","CALIFORNIA","06","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","30"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","320,000"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","86,000"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","389,000"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","1"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","1"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","2"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","39"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","17"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","43"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","28.7"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","18.6"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","25.2"
2019,"YEAR","STATE","FLORIDA","12","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2019,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","83"
2019,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","52"
2019,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","91"
2019,"YEAR","STATE","FLORIDA","12","BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","(D)"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (NITROGEN)","10,676,000"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","5,745,000"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (POTASH)","10,583,000"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"FERTILIZER",NA,"FERTILIZER: (SULFUR)","2,637,000"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","18"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","15"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","24"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","9"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","307"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (PHOSPHATE)","172"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (POTASH)","315"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FERTILIZER",NA,"FERTILIZER: (SULFUR)","91"
2018,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FERTILIZER",NA,"FERTILIZER: (NITROGEN)","16.9"
